name,relative_likelihood,colors,mb_add,sb_add,mb_multipliers,sb_multipliers,permit
GSZ,8,UG,"Green Sun's Zenith/4|Dryad Arbor/1|Scavenging Ooze/.71|Questing Beast/.71|Tireless Tracker/.3|Noble Hierarch/2|Gilded Goose/.071|Uro, Titan of Nature's Wrath/1.5",Collector Ouphe/1|Scavenging Ooze/1,Ice-Fang Coatl/2,,"Green Sun's Zenith|Dryad Arbor|Scavenging Ooze|Questing Beast|Tireless Tracker|Noble Hierarch|Gilded Goose|Uro, Titan of Nature's Wrath|Collector Ouphe|Ice-Fang Coatl"
Worldgorger,2,UBG,Worldgorger Dragon/1|Animate Dead/4|Duskmantle Guildmage/1|Ice-Fang Coatl/4|Entomb/4|Echo of Eons/.7,Griselbrand/.8,,,Worldgorger Dragon|Animate Dead|Duskmantle Guildmage|Ice-Fang Coatl|Entomb|Griselbrand
RIP_Helm,3,UW,Rest in Peace/4|Helm of Obedience/4|Energy Field/2|Enlightened Tutor/2,,"Dreadhorde Arcanist/0|Uro, Titan of Nature's Wrath/0",,Rest in Peace|Helm of Obedience|Energy Field|Enlightened Tutor
Wheels,3,U,"Narset, Parter of Veils/1.8|Hullbreacher/2|Day's Undoing/2",,"Narset, Parter of Veils/1.2|Hullbreacher/1.2",,"Narset, Parter of Veils|Hullbreacher|Day's Undoing"
PFire_Dack,12,URG,Dack Fayden/2.2|Punishing Fire/2.6|Grove of the Burnwillows/3.1,Wasteland/1|Crop Rotation/1|Bojuka Bog/1|Life from the Loam/.8,"Cling to Dust/2|Cephalid Coliseum/2|Karakas/2|Uro, Titan of Nature's Wrath/1.6",,"Dack Fayden|Punishing Fire|Grove of the Burnwillows|Wasteland|Crop Rotation|Bojuka Bog|Life from the Loam|Cling to Dust|Cephalid Coliseum|Karakas|Uro, Titan of Nature's Wrath"
Stoneblade,8,UW,Stoneforge Mystic/3.2|Batterskull/1|Umezawa's Jitte/1,,True-Name Nemesis/2|Snapcaster Mage/1.3,,Stoneforge Mystic|True-Name Nemesis|Snapcaster Mage
Shardless,4,UG,Shardless Agent/4|Ancestral Vision/3|Tarmogoyf/.8,,,,
Miracles,10,UW,Monastery Mentor/2.5|Terminus/1.5|Mishra's Bauble/.8,,Mishra's Bauble/1.5|Portent/1.5,,Mishra's Bauble|Terminus
