names,numbers
Fire // Ice,0.00036314117113027687
Day's Undoing,0.0011802088061733998
Geier Reach Sanitarium,0.00027235587834770767
Young Pyromancer,0.0006354970494779846
Fae of Wishes,0.00036314117113027687
Griselbrand,0.00036314117113027687
Opposition Agent,0.00027235587834770767
Worldgorger Dragon,0.00036314117113027687
Echo of Eons,0.00036314117113027687
Entomb,0.0010894235133908307
Animate Dead,0.0007262823422605537
Dance of the Dead,0.00036314117113027687
Cryptic Command,0.00018157058556513844
Meddling Mage,9.078529278256922e-05
Vindicate,0.00045392646391284613
Prophetic Prism,0.0006354970494779846
Shardless Agent,0.0007262823422605537
Ancestral Vision,0.0005447117566954153
Dead of Winter,9.078529278256922e-05
Of One Mind,0.0010894235133908307
Marsh Flats,0.0010894235133908307
Feed the Swarm,9.078529278256922e-05
"Titania, Protector of Argoth",9.078529278256922e-05
Enlightened Tutor,0.00036314117113027687
Helm of Obedience,9.078529278256922e-05
Deafening Silence,9.078529278256922e-05
Detention Sphere,9.078529278256922e-05
Energy Field,9.078529278256922e-05
Humility,9.078529278256922e-05
Porphyry Nodes,9.078529278256922e-05
Rest in Peace,0.00045392646391284613
"Jolrael, Mwonvuli Recluse",0.0005447117566954153
Disrupt,0.00036314117113027687
Magmatic Sinkhole,0.00036314117113027687
"Valki, God of Lies",9.078529278256922e-05
Gurmag Angler,0.00045392646391284613
Sinkhole,0.00036314117113027687
Shadow of Doubt,0.00036314117113027687
"Emry, Lurker of the Loch",0.00036314117113027687
Gilded Goose,0.00036314117113027687
"Urza, Lord High Artificer",0.00027235587834770767
Urza's Bauble,0.00018157058556513844
Intuition,0.00036314117113027687
Savai Triome,9.078529278256922e-05
Indatha Triome,9.078529278256922e-05
Zagoth Triome,0.00018157058556513844
"Chandra, Awakened Inferno",9.078529278256922e-05
Search for Azcanta,0.00036314117113027687
Tombstalker,0.00018157058556513844
Cavern of Souls,9.078529278256922e-05
Abrade,0.00018157058556513844
Dead // Gone,9.078529278256922e-05
"Jace, Vryn's Prodigy",0.00018157058556513844
Vendilion Clique,0.00027235587834770767
"Venser, Shaper Savant",9.078529278256922e-05
Sword of Feast and Famine,9.078529278256922e-05
Veil of Summer,9.078529278256922e-05
Emeria's Call,9.078529278256922e-05
Hour of Promise,0.00018157058556513844
Sea Gate Restoration,9.078529278256922e-05
Exploration,0.00036314117113027687
"Squee, Goblin Nabob",9.078529278256922e-05
Blood Moon,0.00018157058556513844
Phyrexian Dreadnought,0.00036314117113027687
Scroll of Fate,9.078529278256922e-05
Torpor Orb,0.00027235587834770767
